concept_id,label_de,label_en,parent_id
07.580.5860,Innere Veterinärmedizin einschl. Labordiagnostik,Internal Veterinary Medicine Including Laboratory Diagnostics,07.580
07.580.5870,Krankheiten der Pferde,Equine Diseases,07.580
07.580.5880,Krankheiten der Rinder,Bovine Diseases,07.580
07.580.5890,Krankheiten der kleinen Klauentiere,Diseases Of Small Ruminants,07.580
07.580.5910,Krankheiten der kleinen Haustiere,Diseases Of Small Domestic Animals,07.580
07.580.5920,Krankheiten des Geflügels,Poultry Diseases,07.580
07.610,"Agrar-, Forst- und Ernährungswissenschaften allgemein","Agricultural, Forestry And Nutritional Sciences In General",07
07.610.6100,"Agrar-, Forst- und Ernährungswissenschaften allgemein","Agricultural, Forestry And Nutritional Sciences In General",07.610
07.610.6105,Angewandte Biotechnologie,Applied Biotechnology,07.610
07.610.6106,Angewandte Maschinenbautechnik,Applied Mechanical Engineering,07.610
07.610.6107,Angewandte Naturwissenschaften,Applied Natural Sciences,07.610
07.610.6108,Angewandte Verfahrenstechnik,Applied Process Engineering,07.610
07.615,"Landespflege, Umweltgestaltung","Land Management, Environmental Design",07
07.615.6310,Landespflege allgemein,Landscape Management (General),07.615
07.615.6315,Landschaftsarchitektur (ohne Gartenbau),Landscape Architecture (excluding Horticulture),07.615
07.615.6320,Landschaftsökologie,Landscape Ecology,07.615
07.615.6330,Landschaftsplanung und Landschaftsentwicklung,Landscape Planning And Landscape Development,07.615
07.615.6340,Meliorationswesen,Land Improvement (Melioration),07.615
07.615.6350,Naturschutz,Nature Conservation,07.615
07.620,"Agrarwissenschaften, Lebensmittel- und Getränketechnologie","Agricultural Sciences, Food And Beverage Technology",07
07.620.6200,Agrarwissenschaften allgemein,Agricultural Sciences (general),07.620
07.620.6205,Agrarbiologie,Agricultural Biology,07.620
07.620.6210,Agrartechnik,Agricultural Technology,07.620
07.620.6220,Pflanzenproduktion,Crop Production,07.620
07.620.6230,Tierproduktion,Animal Production,07.620
07.620.6235,Weinbau- und Kellerwirtschaft,Enology And Cellar Management,07.620
07.620.6240,Wirtschafts- und Sozialwissenschaften des Landbaus,Agricultural Economics And Social Sciences,07.620
07.620.6250,Lebensmitteltechnologie/Getränketechnologie,Food Technology/beverage Technology,07.620
07.620.6255,Milch- und Molkereiwirtschaft,Dairy And Dairy Farming,07.620
07.620.6260,Brauwesen/Getränketechnik,Brewing/beverage Technology,07.620
07.620.6300,Gartenbau,Horticulture,07.620
07.640,"Forstwissenschaft, Holzwirtschaft","Forestry, Timber Industry",07
07.640.6400,"Forstwissenschaft, Holzwirtschaft allgemein","Forest Science, Timber Industry In General",07.640
07.640.6410,Forstliche Grundlagenwissenschaften,Basic Forest Sciences,07.640
07.640.6415,Holzwirtschaft,Timber Industry,07.640
07.640.6420,Forstliche Fachwissenschaften,Forest Sciences,07.640
07.640.6430,Holzwissenschaften,Wood Science,07.640
07.650,Ernährungs- und Haushaltswissenschaften,Nutritional And Household Sciences,07
07.650.6500,Ernährungs- und Haushaltswissenschaften allgemein,Nutritional And Household Sciences (general),07.650
07.650.6510,Haushaltswissenschaften,Domestic Science,07.650
07.650.6520,Ernährungswissenschaften,Nutritional Sciences,07.650
08,Ingenieurwissenschaften,Engineering,
08.670,Ingenieurwissenschaften allgemein,Engineering (general),08
08.670.6700,Ingenieurwissenschaften allgemein,Engineering (general),08.670
08.670.6710,Polytechnik/Arbeitslehre,Crafts Education / Ergonomics,08.670
08.670.6720,Technisches Gesundheitswesen,Public Health Engineering,08.670
08.670.6740,Interdisziplinäre Studien (Schwerpunkt Ingenieurwesen - ohne Mechatronik),Interdisciplinary Studies (Engineering Focus - excluding Mechatronics),08.670
08.670.6750,Mechatronik,Mechatronics,08.670
08.670.6780,Medientechnik,Media Technology,08.670
08.670.6790,Regenerative Energien,Renewable Energies,08.670
08.675,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,Industrial Engineering (Engineering Focus),08
08.675.6755,Wirtschaftsingenieurwesen mit ingenieurwissenschaftlichem Schwerpunkt,Industrial Engineering (Engineering Focus),08.675
08.680,"Bergbau, Hüttenwesen","Mining, Metallurgy",08
08.680.6800,"Bergbau, Hüttenwesen allgemein","Mining, Metallurgy (General)",08.680
08.680.6810,Bergbau und mineralische Rohstoffwirtschaft,Mining And Mineral Raw Material Management,08.680
08.680.6820,Bergtechnik,Mining Technique,08.680
08.680.6830,Bergbauliche Betriebswirtschaft,Mining Business Administration,08.680
08.680.6840,"Bergwirtschaft, Bergrecht","Mining Economy, Mining Law",08.680
08.680.6845,Hütten- und Gießereiwesen,Metallurgy And Foundry Studies,08.680
08.680.6850,"Markscheidewesen, Bergschadenkunde, Geophysik im Bergbau","Mine Surveying, Mining Damage, Geophysics In Mining",08.680
08.680.6855,Metallurgie,Metallurgy,08.680
08.680.6860,Aufbereitung und Veredelung,Preparation And Refinement,08.680
08.680.6870,Archäometrie (Ingenieurarchäologie),Archaeometry (Archaeological Engineering),08.680
08.690,Maschinenbau/Verfahrenstechnik,Mechanical Engineering / Process Engineering,08
08.690.6760,Automatisierungstechnik,Automation Technology,08.690
08.690.6900,Maschinenbau allgemein,Mechanical Engineering (general),08.690
08.690.6905,Bioverfahrenstechnik,Bioprocess Engineering,08.690
08.690.6907,Print- und Medientechnik,Print And Media Technology,08.690
08.690.6930,Energieverfahrenstechnik,Energy Process Engineering,08.690
08.690.6935,Logistik,Logistics,08.690
08.690.6940,Produktions- und Fertigungstechnologie,Production And Manufacturing Engineering,08.690
08.690.6945,Sicherheitstechnik,Security Technology,08.690
08.690.6950,Transport- und Verteiltechnik,Transport And Distribution Engineering,08.690
08.690.6955,Chemische Verfahrenstechnik,Chemical Process Engineering,08.690
08.690.6965,Versorgungs-/Entsorgungstechnik,Supply/disposal Technology,08.690
08.690.6970,"Steuerungs-, Mess- und Regelungstechnik","Control, Measurement And Regulation Technology",08.690
08.690.6975,Technische/angewandte Optik,Technical/applied Optics,08.690
08.690.6976,Textiltechnik,Textile Technology,08.690
08.690.6985,Umwelttechnik (einschl. Recycling),Environmental Technology (incl. Recycling),08.690
08.690.6995,Thermische Verfahrenstechnik,Thermal Process Engineering,08.690
08.690.7010,Medizintechnik,Medical Technology,08.690
08.690.7020,Physikalische Technik/Mechanische Verfahrenstechnik,Physical Engineering/Mechanical Process Engineering,08.690
08.690.7030,Kunststofftechnik,Plastics Engineering,08.690
08.690.7040,Holztechnik,Wood Technology,08.690
08.690.7190,Feinwerktechnik (mechanisch),Precision Engineering (mechanical),08.690
08.710,Elektrotechnik und Informationstechnik,Electrical And Computer Engineering,08
08.710.7100,Elektrotechnik allgemein,Electrical Engineering (general),08.710
08.710.7110,Allgemeine Elektrotechnik,General Electrical Engineering,08.710
08.710.7120,Elektrische Energietechnik,Electrical Power Engineering,08.710
08.710.7125,Feinwerktechnik (elektrisch),Precision Engineering (electrical),08.710
08.710.7130,Kommunikations- und Informationstechnik,Communication And Information Technology,08.710
08.710.7140,Mikrosystemtechnik,Microsystems Technology,08.710
08.710.7150,Optoelektronik,Optoelectronics,08.710
08.710.7155,"Steuerungs-, Mess- und Regelungstechnik (elektrisch)","Control, Measurement And Regulation Technology (Electrical)",08.710
08.710.7160,Mikro- und Nanoelektronik,Micro- And Nanoelectronics,08.710
08.710.7170,Sensorik und Messtechnik,Sensors And Measurement Technology,08.710
08.720,"Verkehrstechnik, Nautik","Transport Engineering, Nautical Science",08
08.720.7200,"Verkehrstechnik, Nautik allgemein","Transport Engineering, Nautical Science (General)",08.720
08.720.7210,Schiffsbetriebstechnik,Ship Operation Technology,08.720
08.720.7215,Verkehrsingenieurwesen,Transport Engineering,08.720
08.720.7220,"Schiffbau, Meerestechnik","Shipbuilding, Marine Engineering",08.720
08.720.7230,"Nautik, Seefahrt","Nautical Science, Maritime Navigation",08.720
08.720.7240,Fahrzeug- und Flugzeugbau,Vehicle And Aircraft Construction,08.720
08.720.7245,Fahrzeugtechnik,Vehicle Technology,08.720
08.720.7246,Luft- und Raumfahrttechnik,Aerospace Engineering,08.720
08.730,Architektur,Architecture,08
08.730.7300,Architektur allgemein,Architecture (general),08.730
08.730.7310,Grundlagen und Hilfswissenschaften der Architektur,Principles And Auxiliary Sciences Of Architecture,08.730
08.730.7320,Gestaltung und Darstellung,Design And Presentation,08.730
08.730.7330,Bautechnik und Baubetrieb,Civil Engineering And Construction,08.730
08.730.7335,Denkmalpflege (Architektur),Monument Conservation (Architecture),08.730
08.730.7340,Gebäudeplanung,Building Planning,08.730
08.730.7350,Baugeschichte,Building History,08.730
08.730.7390,Innenarchitektur,Interior Design,08.730
08.730.7395,Städtebau und Siedlungswesen,Urban Planning And Housing Development,08.730
08.740,Raumplanung,Spatial Planning,08
08.740.7400,Raumplanung allgemein,Room Planning (general),08.740
08.740.7410,Grundlagen der Raumplanung,Basics Of Spatial Planning,08.740
08.740.7420,Stadtplanung (Ortsplanung),Urban Planning (Town Planning),08.740
08.740.7430,Regional- und Landesplanung,Regional And National Planning,08.740
08.740.7440,Raumordnung,Spatial Planning (General),08.740
08.740.7450,Infrastrukturplanung,Infrastructure Planning,08.740
08.740.7460,Umweltschutz,Environmental Protection,08.740
08.750,Bauingenieurwesen,Civil Engineering,08
08.750.7500,Bauingenieurwesen allgemein,Civil Engineering (general),08.750
08.750.7510,Konstruktiver Ingenieurbau,Structural Engineering,08.750
08.750.7520,"Wasserbau, -wesen","Hydraulic Engineering, Hydroscience",08.750
08.750.7530,"Verkehrsbau, -wesen","Transport Engineering, Transport",08.750
08.750.7540,Baubetriebswesen/Baumanagement,Construction Engineering/Management,08.750
08.750.7550,Sonstige Bereiche des Bauingenieurwesens,Other Areas Of Civil Engineering,08.750
08.750.7560,Holzbau,Timber Construction,08.750
08.750.7570,Baustofftechnik,Building Materials Technology,08.750
08.750.7580,Bauinformatik,Construction Informatics,08.750
08.760,Vermessungswesen,Surveying,08
08.760.7600,Vermessungswesen allgemein,Surveying (general),08.760
08.760.7610,Kartographie,Cartography,08.760
08.760.7620,Photogrammetrie,Photogrammetry,08.760
08.765,Informatik,Computer Science,08
08.765.2990,Wirtschaftsinformatik (für Informatiker),Business Informatics (for Computer Scientists),08.765
08.765.3500,Informatik allgemein,Computer Science (general),08.765
08.765.3510,Theoretische Informatik,Theoretical Computer Science,08.765
08.765.3520,Angewandte Informatik,Applied Computer Science,08.765
08.765.3530,Ingenieurinformatik/Technische Informatik,Engineering Informatics/technical Informatics,08.765
08.765.3540,Bioinformatik,Bioinformatics,08.765
08.765.3550,Computer- und Kommunikationstechniken,Computer And Communication Technologies,08.765
08.765.3560,Künstliche Intelligenz,Artificial Intelligence,08.765
08.765.3570,Softwaretechnologie,Software Technology,08.765
08.770,Materialwissenschaft und Werkstofftechnik,Materials Science And Engineering,08
08.770.6990,Werkstofftechnik,Materials Engineering,08.770
08.770.7700,Materialwissenschaft,Materials Science,08.770
09,"Kunst, Kunstwissenschaft","Art, Art Theory",
09.780,"Kunst, Kunstwissenschaft allgemein","Art, Art Theory (General)",09
09.780.7800,"Kunst, Kunstwissenschaften allgemein","Art, Art Theory (General)",09.780
09.780.7810,Kunstgeschichte,Art History,09.780
09.780.7820,Kunsterziehung,Art Education,09.780
09.780.7830,Restaurierungskunde,Restoration,09.780
09.780.7840,Kunsttherapie,Art Therapy,09.780
09.790,Bildende Kunst,Visual Arts,09
09.790.7900,Bildende Kunst allgemein,Fine Arts (general),09.790
09.790.7920,Malerei,Painting,09.790
09.790.7930,"Plastik, Bildhauerei",Sculpture,09.790
09.790.7940,Graphik,Graphic Arts,09.790
09.790.7950,"Aktionen, Performance, Environment, Fotografie","Actions, Performance, Environment, Photography",09.790
09.790.7960,Neue Medien,New Media,09.790
09.800,Gestaltung,Design (General),09
09.800.8000,Gestaltung allgemein,Design (general),09.800
09.800.8010,Industriedesign/Produktgestaltung,Industrial Design/product Design,09.800
09.800.8020,Modedesign,Fashion Design,09.800
09.800.8030,Visuelle Kommunikation,Visual Communication,09.800
09.800.8035,Werkerziehung (Gestaltung),Handicraft Training (design),09.800
09.800.8040,Textildesign,Textile Design,09.800
09.800.8050,Angewandte Kunst,Applied Arts,09.800
09.800.8060,"Bühnenbild, Kostüm","Stage Design, Costumes",09.800
09.800.8070,"Designtheorie, -geschichte","Design Theory, Design History",09.800
09.800.8075,Edelstein- und Schmuckdesign,Gem And Jewelry Design,09.800
09.800.8076,Graphikdesign/Kommunikationsgestaltung,Graphic Design/communication Design,09.800
09.820,"Darst. Kunst, Film und Fernsehen, Theaterwissenschaft","Performing Arts, Film And Television, Theater Studies",09
09.820.8200,"Darst. Kunst, Film und Fernsehen, Theaterwissenschaft allgemein","Performing Arts, Film And Television, Theater Studies In General",09.820
09.820.8210,Darstellende Kunst,Performing Arts,09.820
09.820.8220,Schauspiel,Acting,09.820
09.820.8225,Tanzwissenschaft,Dance Studies,09.820
09.820.8230,Regie,Directing,09.820
09.820.8240,Theaterwissenschaft,Theater Studies,09.820
09.820.8250,Film und Fernsehen,Movie And Tv,09.820
09.820.8270,Musiktheater,Musical Theater,09.820
09.820.8275,"Produktionswirtschaft im Bereich Darst. Kunst, Theater, Film und Fernsehen","Production Management In The Field Of Performing Arts, Theatre, Film And Television",09.820
09.830,"Musik, Musikwissenschaft","Music, Musicology",09
09.830.8300,"Musik, Musikwissenschaft allgemein","Music, Musicology (General)",09.830
09.830.8310,Instrumentalmusik,Instrumental Music,09.830
09.830.8315,Jazz und Popularmusik,Jazz And Popular Music,09.830
09.830.8320,Gesang,Singing,09.830
09.830.8325,Kirchenmusik,Church Music,09.830
09.830.8330,Komposition,Composition,09.830
09.830.8340,Dirigieren,Conducting,09.830
09.830.8350,"Musikwissenschaft, -geschichte","Musicology, History Of Music",09.830
09.830.8360,Musikerziehung,Music Education,09.830
09.830.8363,Orchestermusik,Orchestral Music,09.830
09.830.8364,Rhythmik,Rhythm,09.830
09.830.8365,Sonstige Musikpraxis,Other Music Practice,09.830
10,Außerhalb der Studienbereichsgliederung/Sonstige Fächer,Unclassified Fields/Other Subjects,
15,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Central Facilities (excluding Hospital-specific Facilities),
15.850,Zentrale Einrichtungen der Berufsakademien,Central Facilities of Cooperative Education Institutions,15
15.870,Hochschule insgesamt,University Overall,15
15.870.8700,Hochschule allgemein,University (general),15.870
15.870.8710,Nicht zugeteilte Stellen/Räume/Mittel,Unallocated Posts/rooms/funds,15.870
15.870.8720,Nicht nutzbare Räume,Unusable Rooms,15.870
15.870.8730,Hochschulkommission,Higher Education Commission,15.870
15.880,Zentrale Hochschulverwaltung,Central University Administration (General),15
15.880.8800,Allgemeine Hochschulverwaltung,General University Administration,15.880
15.880.8805,Akademische Selbstverwaltung,Academic Self-administration,15.880
15.880.8806,"Personalvertretung einschl. Vertr. für Datenschutz, Behinderte, etc.","Staff Representation Including Representatives For Data Protection, Disabled People, Women, Etc.",15.880
15.880.8810,Fakultäts-/Fachbereichsverwaltung,Faculty/department Administration,15.880
15.880.8820,Studentische Selbstverwaltung,Student Self Government,15.880
15.880.8830,Zentrale Studienberatung,Central Student Advisory Service,15.880
15.890,Zentral verwaltete Hörsäle und Lehrräume,Centrally Managed Lecture Halls And Classrooms,15
15.890.8600,Hörsaal/Lehrraum,Lecture Hall/teaching Room,15.890
15.900,Zentralbibliothek,Central Library,15
15.900.9000,Bibliothek,Library,15.900
15.900.9050,Archiv,Archive,15.900
15.910,Hochschulrechenzentrum,University Computer Center,15
15.910.9100,Rechenzentrum,Data Center,15.910
15.920,Zentrale wissenschaftliche Einrichtungen,Central Scientific Institutions,15
15.920.9200,Zentrale wissenschaftliche Einrichtungen allgemein,Central Scientific Institutions (general),15.920
15.920.9210,Sprachenzentrum,Language Center,15.920
15.920.9220,Sprachlabor,Language Lab,15.920
15.920.9230,Akademisches Auslandsamt,International Office,15.920
15.920.9240,Tierversuchsanlage,Animal Testing Facility,15.920
15.920.9250,Strahlenlabor,Radiation Laboratory,15.920
15.920.9260,Wissenschaftliche/Künstlerische Werkstätten,Scientific/artistic Workshops,15.920
15.920.9280,Forschungs-/Technologie-/Transferstellen,Research/technology/transfer Offices,15.920
15.920.9290,Weiterbildungszentrum,Adult Education Centre,15.920
15.930,Zentrale Betriebs- und Versorgungseinrichtungen,Central Operating And Supply Facilities,15
15.930.9300,Zentrale Betriebs- und Versorgungseinrichtungen allgemein,Central Operating And Supply Facilities (general),15.930
15.930.9305,"Arbeitssicherheit, Feuerwehr","Occupational Safety, Fire Brigade",15.930
15.930.9310,Hausverwaltung,Property Management,15.930
15.930.9320,"Foto-, Reprostelle",Photo And Repro Workshop,15.930
15.930.9330,Zentrale Betriebswerkstätten,Central Academic Facilities,15.930
15.930.9340,Materialversorgungslager der Hochschule,Material Supply Warehouse Of The University,15.930
15.930.9350,Fahrbereitschaft,Readiness To Drive,15.930
15.930.9360,Versorgungseinrichtungen,Utility Facilities,15.930
15.940,Soziale Einrichtungen,Social Facilities,15
15.940.9400,Soziale Einrichtungen allgemein,Social Institutions (general),15.940
15.940.9410,Wohnung/Gästehaus,Apartment/guest House,15.940
15.940.9420,Wohnheim,Dorm,15.940
15.940.9430,Sonstige soziale Einrichtungen,Other Social Facilities,15.940
15.950,Übrige Ausbildungseinrichtungen,Other Training Facilities,15
15.950.9500,Übrige Ausbildungseinrichtungen allgemein,Other Training Facilities (General),15.950
15.950.9510,Studienkolleg,Preparatory College,15.950
15.950.9520,Schulen für nichtakademische Ausbildungsgänge,Schools For Non-academic Training Programmes,15.950
15.950.9530,Sonstige Bildungseinrichtungen,Other Educational Institutions,15.950
15.950.9540,Sportstätten,Sports Facilities,15.950
15.960,Mit der Hochschule verbundene sowie hochschulfremde Einrichtungen,Institutions Affiliated With The University And Non-university Institutions,15
15.960.9600,Mit der Hochschule verbundene Einrichtungen allgemein,Institutions Associated With The University (general),15.960
15.960.9610,Studentenwerk,Student Union,15.960
15.960.9620,Staatliche Prüfungsämter,State Examination Offices,15.960
15.960.9630,Max-Planck-Institute,Max Planck Institutes,15.960
15.960.9640,Materialprüfungsanstalten,Material Testing Institutes,15.960
15.960.9650,Einrichtungen des öffentlichen Gesundheitswesens,Public Health Care Facilities,15.960
15.960.9660,Hochschulbauamt,Office Of Higher Education Construction,15.960
15.960.9665,Kirchliche Prüfungsämter,Ecclesiastical Examination Offices,15.960
15.960.9670,Landesanstalten,State Institutions,15.960
15.960.9675,Fraunhofer-Institute,Fraunhofer Institutes,15.960
15.960.9680,Sonstige hochschulfremde Institutionen,Other Non-university Institutions,15.960
20,Zentrale Einrichtungen der Hochschulkliniken (nur Humanmedizin),Central Facilities Of The University Clinics (only Human Medicine),
20.970,"Kliniken insgesamt, Zentrale Dienste","Hospitals As A Whole, Central Services",20
20.970.8900,Zentrale Dienste der Kliniken allgemein,Central Services Of The Clinics (general),20.970
20.970.8905,"Ambulanz, Konsiliardienst","Outpatient Services, Consultations",20.970
20.970.8910,Klinikverwaltung (einschl. Rechenzentrum),Clinic Administration (including Data Center),20.970
20.970.8915,Pflegedienst,Nursing Service,20.970
20.970.8920,Zentrale Blutbank,Central Blood Bank,20.970
20.970.8930,Apotheke,Pharmacy,20.970
20.970.8940,"Reinigung, Wäsche, Sterilisation","Cleaning, Laundry, Sterilization",20.970
20.970.8950,Zentrallabor,Central Laboratory,20.970
20.970.9710,Zentral verwaltete Hörsäle und Lehrräume,Centrally Managed Lecture Halls And Classrooms,20.970
20.970.9720,Zentrale wissenschaftliche Einrichtungen (einschl. Bibliothek),Central Academic Facilities (including The Library),20.970
20.970.9730,"Energie, Wasser, Transport","Energy, Water, Transportation",20.970
20.970.9740,Werkstätten,Workshops,20.970
20.980,Soziale Einrichtungen der Kliniken,Social Facilities Of The Clinics,20
20.980.9800,Soziale Einrichtungen der Kliniken allgemein,Social Facilities Of The Clinics (general),20.980
20.980.9805,"Sozialdienst, Patientenbetreuung","Social Service, Patient Care",20.980
20.980.9810,Krankenhausseelsorge,Hospital Chaplaincy,20.980
20.980.9815,Patientenbücherei,Patient Library,20.980
20.980.9820,Dienstwohnungen,Service Apartments,20.980
20.980.9825,Wohnheime,Dormitories,20.980
20.980.9830,Kindergarten,Kindergarten,20.980
20.986,Übrige Ausbildungseinrichtungen der Kliniken,Other Training Facilities Of The Clinics,20
